	buyerid	publisherid	publisher	ppdrevenue	pdrevenue	rev_difference	rev_delta	offer_difference	offer_delta
436	547259	560313	Freestar	542.8609959999994	453.36750799999885	-89.49	-0.16485525513791136	-1303772	-0.069965569202897
460	547259	560950	Brulee Media	244.05830500000005	162.18720499999998	-81.87	-0.3354571359495431	-958141	-0.15725006499150515
407	547259	560606	RTS-Sonobi	1862.2422250000031	1781.3174309999956	-80.92	-0.043455568192804446	-85569953	-0.14149946889301881
447	547259	556241	sernate	356.1870940000002	275.5262129999998	-80.66	-0.22645649536083506	-703699	-0.09667857713991472
489	547259	560033	RAD	130.62696000000008	51.52478000000004	-79.1	-0.6055578419646296	-118844	-0.07739123979406444
429	547259	560022	Ookla Speed Test	590.989653	521.3169420000002	-69.67	-0.11789159191929173	-327705	-0.02267966735518973
416	547259	558299	RTS-AOL Marketplace	1038.9619339999956	976.1968709999968	-62.77	-0.060411321094656266	-28193293	-0.0828262497521415
426	547259	560613	Spine Media	642.4993770000002	580.4441730000003	-62.06	-0.09658406874999953	2181057	0.15851628852204902
442	547259	561043	VonVon	452.33941500000003	393.27972299999965	-59.06	-0.13056499177724845	-3144078	-0.06640238020438712
476	547259	558794	LanistaConceptsLLC3	169.08488500000004	115.86676200000001	-53.22	-0.31474204805473904	-4813885	-0.24474691628804726
448	547259	560296	Traffic Addicts	355.43996000000004	302.3564739999999	-53.08	-0.1493458585804482	-298562	-0.013875246309997398
445	547259	560816	RTS-DistrictM	387.98150199999986	336.9704329999999	-51.01	-0.13147809557168008	-1988356	-0.04473413535286641
450	547259	560962	Boredom Therapy	337.8425519999997	288.6837999999998	-49.16	-0.14550787551474562	-3842442	-0.15813439993046507
463	547259	560876	Geniee10	226.08492799999996	178.01590999999996	-48.07	-0.2126148718768197	-42715	-0.007291140364053475
475	547259	558223	imonomy AP	170.96827199999996	123.47892700000035	-47.49	-0.2777670057985941	280514	0.08483831923867684
428	547259	558527	RTS-purch	608.0326599999995	561.8350470000004	-46.2	-0.07597883475535537	-3323806	-0.11502723733334828
464	547259	560092	Sortable2	223.3567910000001	177.18825100000007	-46.17	-0.20670309504939124	-193765	-0.08468117111876691
406	547259	560862	Ivemedia	2224.958584	2179.2156950000012	-45.74	-0.020558984481303378	191791	0.04147675419436599
461	547259	558595	StreamAMP	241.46169400000008	196.20785800000027	-45.25	-0.18741621186505794	110920	0.010790780750733645
465	547259	558609	Yieldlove	219.4968190000004	174.83942700000014	-44.66	-0.20345348148302853	-1931447	-0.06947667573599275
437	547259	559952	AdThriveHB	531.2795720000017	489.3806639999998	-41.9	-0.0788641427380193	-5503609	-0.06788441255755476
434	547259	558886	The Blogger Network	547.2265030000003	514.6923999999999	-32.53	-0.05945271806398674	-994016	-0.01746630327266339
490	547259	558617	MATOMY CONTENT NETWORK	127.3669080000003	96.4644710000001	-30.9	-0.24262532148460508	-120885	-0.032978913792407305
449	547259	560269	Ezoic.com	349.97213899999934	319.61482100000126	-30.36	-0.08674209920464024	-1882304	-0.06678769537878598
471	547259	558812	Petilmat S.A	201.280125	171.106389	-30.17	-0.14990916763391315	228233	0.0936834777240423
459	547259	559908	Hexagram Labs Limited	248.627171	218.73052000000007	-29.9	-0.12024691782379623	-271895	-0.08267007042135754
462	547259	560825	SNT Media 4	235.52135900000002	207.00089900000003	-28.52	-0.1210950043813223	-104322	-0.02407511513463067
457	547259	558092	Slashdot Media	259.62293999999997	232.16833000000003	-27.45	-0.10574801286820013	-832205	-0.06719132424891418
453	547259	560905	Yieldlove 3	286.46954000000017	259.653055	-26.82	-0.09361024910362252	-981074	-0.08703197230090387
472	547259	560361	MadAds HB	193.58413599999994	167.3165740000001	-26.27	-0.1356906745705643	725157	0.07882669957322137
478	547259	560011	Marfeel	153.5297080000004	127.40914400000001	-26.12	-0.17013361348932102	189844	0.008293741860539283
492	547259	560183	NewsNow Publishing Limited	124.84920199999999	102.425676	-22.42	-0.17960488045410172	-276839	-0.04347872520369536
497	547259	558882	Vacation Idea	117.08683600000002	95.78071299999996	-21.31	-0.18196856049641696	-3247	-0.012290583149750555
481	547259	560360	OnScroll	142.5442750000001	121.95863599999987	-20.59	-0.1444157543331728	667533	0.24973110807416515
496	547259	560182	Clickio	118.15281200000017	98.32095900000017	-19.83	-0.16784918331016926	-1642292	-0.07466958332459994
480	547259	558203	Radifx	144.9789779999994	132.98348599999983	-12.0	-0.08273952655397812	-453683	-0.09432365306722408
473	547259	560836	Froppit Inc.	187.62929000000008	176.7903940000001	-10.84	-0.05776761186912754	146682	0.03419985940664006
425	547259	558604	Digikulture	646.5786640000008	635.8069819999998	-10.77	-0.01665950734186452	-31345	-0.0011597982154610926
494	547259	560694	AG Inc	120.57167199999986	112.85567499999995	-7.72	-0.06399510657859936	-53287	-0.03652516395779869
484	547259	560903	Vertical Scope1	138.0151649999998	133.02210599999958	-4.99	-0.036177611351623735	-365917	-0.03825721244072185
495	547259	560311	GENIEE, Inc	119.9017070000001	117.75355699999987	-2.15	-0.01791592508353719	-2769459	-0.24404353564969722
501	547259	560701	WordPlays1	109.80480799999997	107.84587800000003	-1.96	-0.017840111336472068	99462	0.016749536980435464
499	547259	560430	Comicbook	110.68154700000001	115.91030600000003	5.23	0.04724147016123677	152785	0.020760171342579854
431	547259	560653	GiftConnect	569.8982699999996	575.6139350000001	5.72	0.010029272417339532	1151301	0.055090790385873493
432	547259	557219	RTS-Pubmatic	560.6414559999995	567.489375000001	6.85	0.012214435673129265	-83510305	-0.08016223444642184
454	547259	560982	Arteebee	283.7943019999999	295.274786	11.48	0.04045353947945053	-959	-0.00593488337551907
488	547259	560511	Geniee2	135.33808600000003	148.35104400000014	13.01	0.09615148539931404	246570	0.039819263790147295
491	547259	560817	SNT Media 3	125.20329999999977	141.1340019999995	15.93	0.12723867501894723	544991	0.19054663312524364
444	547259	560931	dietforjoy.com	398.6807019999999	416.223918	17.54	0.0440031732461436	1321069	0.1295190701232171
477	547259	561020	RSOE-HB	167.30841599999997	185.20713599999996	17.9	0.10698039242688187	505823	0.11343968100184797
440	547259	559906	Hive Media	458.0640200000001	476.0442580000001	17.98	0.03925267476803797	379600	0.026613941709157714
